pth,label
./affectnet/train/neutral/image0016119.jpg,neutral
./affectnet/train/neutral/image0004242.jpg,neutral
./affectnet/train/neutral/image0000443.jpg,neutral
./affectnet/train/neutral/image0009701.jpg,neutral
./affectnet/train/neutral/image0004144.jpg,neutral
./affectnet/train/neutral/image0003360.jpg,neutral
./affectnet/train/neutral/image0005029.jpg,neutral
./affectnet/train/neutral/image0003939.jpg,neutral
./affectnet/train/neutral/image0008304.jpg,neutral
./affectnet/train/neutral/image0004957.jpg,neutral
./affectnet/train/neutral/image0014588.jpg,neutral
./affectnet/train/neutral/image0017135.jpg,neutral
./affectnet/train/neutral/image0002464.jpg,neutral
./affectnet/train/neutral/image0005942.jpg,neutral
./affectnet/train/neutral/image0015265.jpg,neutral
./affectnet/train/neutral/image0013930.jpg,neutral
./affectnet/train/neutral/image0001782.jpg,neutral
./affectnet/train/neutral/image0007022.jpg,neutral
./affectnet/train/neutral/image0007248.jpg,neutral
./affectnet/train/neutral/image0017003.jpg,neutral
./affectnet/train/neutral/image0011470.jpg,neutral
./affectnet/train/neutral/image0007830.jpg,neutral
./affectnet/train/neutral/image0012894.jpg,neutral
./affectnet/train/neutral/image0005360.jpg,neutral
./affectnet/train/neutral/image0004539.jpg,neutral
./affectnet/train/neutral/image0015789.jpg,neutral
./affectnet/train/neutral/image0004523.jpg,neutral
./affectnet/train/neutral/image0006075.jpg,neutral
./affectnet/train/neutral/image0000406.jpg,neutral
./affectnet/train/neutral/image0009233.jpg,neutral
./affectnet/train/neutral/image0014755.jpg,neutral
./affectnet/train/neutral/image0011433.jpg,neutral
./affectnet/train/neutral/image0005486.jpg,neutral
./affectnet/train/neutral/image0013079.jpg,neutral
./affectnet/train/neutral/image0014226.jpg,neutral
./affectnet/train/neutral/image0012991.jpg,neutral
./affectnet/train/neutral/image0000893.jpg,neutral
./affectnet/train/neutral/image0006688.jpg,neutral
./affectnet/train/neutral/image0005792.jpg,neutral
./affectnet/train/neutral/image0001517.jpg,neutral
./affectnet/train/neutral/image0013467.jpg,neutral
./affectnet/train/neutral/image0006813.jpg,neutral
./affectnet/train/neutral/image0011837.jpg,neutral
./affectnet/train/neutral/image0004476.jpg,neutral
./affectnet/train/neutral/image0012566.jpg,neutral
./affectnet/train/neutral/image0015669.jpg,neutral
./affectnet/train/neutral/image0016367.jpg,neutral
./affectnet/train/neutral/image0014829.jpg,neutral
./affectnet/train/neutral/image0009072.jpg,neutral
./affectnet/train/neutral/image0015540.jpg,neutral
./affectnet/train/neutral/image0007877.jpg,neutral
./affectnet/train/neutral/image0014034.jpg,neutral
./affectnet/train/neutral/image0011576.jpg,neutral
./affectnet/train/neutral/image0004775.jpg,neutral
./affectnet/train/neutral/image0012619.jpg,neutral
./affectnet/train/neutral/image0017314.jpg,neutral
./affectnet/train/neutral/image0005067.jpg,neutral
./affectnet/train/neutral/image0006704.jpg,neutral
./affectnet/train/neutral/image0014223.jpg,neutral
./affectnet/train/neutral/image0014506.jpg,neutral
./affectnet/train/neutral/image0001303.jpg,neutral
./affectnet/train/neutral/image0005123.jpg,neutral
./affectnet/train/neutral/image0000834.jpg,neutral
./affectnet/train/neutral/image0006621.jpg,neutral
./affectnet/train/neutral/image0003089.jpg,neutral
./affectnet/train/neutral/image0000884.jpg,neutral
./affectnet/train/neutral/image0016708.jpg,neutral
./affectnet/train/neutral/image0008018.jpg,neutral
./affectnet/train/neutral/image0000506.jpg,neutral
./affectnet/train/neutral/image0009359.jpg,neutral
./affectnet/train/neutral/image0004637.jpg,neutral
./affectnet/train/neutral/image0003379.jpg,neutral
./affectnet/train/neutral/image0012249.jpg,neutral
./affectnet/train/neutral/image0001762.jpg,neutral
./affectnet/train/neutral/image0002659.jpg,neutral
./affectnet/train/neutral/image0009937.jpg,neutral
./affectnet/train/neutral/image0017264.jpg,neutral
./affectnet/train/neutral/image0015908.jpg,neutral
./affectnet/train/neutral/image0017223.jpg,neutral
./affectnet/train/neutral/image0013762.jpg,neutral
./affectnet/train/neutral/image0003132.jpg,neutral
./affectnet/train/neutral/image0013508.jpg,neutral
./affectnet/train/neutral/image0008417.jpg,neutral
./affectnet/train/neutral/image0006599.jpg,neutral
./affectnet/train/neutral/image0012117.jpg,neutral
./affectnet/train/neutral/image0002204.jpg,neutral
./affectnet/train/neutral/image0000770.jpg,neutral
./affectnet/train/neutral/image0007968.jpg,neutral
./affectnet/train/neutral/image0001053.jpg,neutral
./affectnet/train/neutral/image0007176.jpg,neutral
./affectnet/train/neutral/image0011818.jpg,neutral
./affectnet/train/neutral/image0001410.jpg,neutral
./affectnet/train/neutral/image0017218.jpg,neutral
./affectnet/train/neutral/image0009741.jpg,neutral
./affectnet/train/neutral/image0014987.jpg,neutral
./affectnet/train/neutral/image0013293.jpg,neutral
./affectnet/train/neutral/image0002076.jpg,neutral
./affectnet/train/neutral/image0005143.jpg,neutral
./affectnet/train/neutral/image0014407.jpg,neutral
./affectnet/train/neutral/image0008201.jpg,neutral
./affectnet/train/neutral/image0017431.jpg,neutral
./affectnet/train/neutral/image0012966.jpg,neutral
./affectnet/train/neutral/image0014530.jpg,neutral
./affectnet/train/neutral/image0006634.jpg,neutral
./affectnet/train/neutral/image0016898.jpg,neutral
./affectnet/train/neutral/image0010300.jpg,neutral
./affectnet/train/neutral/image0000759.jpg,neutral
./affectnet/train/neutral/image0016534.jpg,neutral
./affectnet/train/neutral/image0014935.jpg,neutral
./affectnet/train/neutral/image0004963.jpg,neutral
./affectnet/train/neutral/image0013088.jpg,neutral
./affectnet/train/neutral/image0007010.jpg,neutral
./affectnet/train/neutral/image0009878.jpg,neutral
./affectnet/train/neutral/image0004449.jpg,neutral
./affectnet/train/neutral/image0009243.jpg,neutral
./affectnet/train/neutral/image0012055.jpg,neutral
./affectnet/train/neutral/image0003610.jpg,neutral
./affectnet/train/neutral/image0015815.jpg,neutral
./affectnet/train/neutral/image0013060.jpg,neutral
./affectnet/train/neutral/image0014005.jpg,neutral
./affectnet/train/neutral/image0015983.jpg,neutral
./affectnet/train/neutral/image0006097.jpg,neutral
./affectnet/train/neutral/image0003530.jpg,neutral
./affectnet/train/neutral/image0006180.jpg,neutral
./affectnet/train/neutral/image0011691.jpg,neutral
./affectnet/train/neutral/image0003894.jpg,neutral
./affectnet/train/neutral/image0013158.jpg,neutral
./affectnet/train/neutral/image0008902.jpg,neutral
./affectnet/train/neutral/image0011124.jpg,neutral
./affectnet/train/neutral/image0003926.jpg,neutral
./affectnet/train/neutral/image0000641.jpg,neutral
./affectnet/train/neutral/image0000445.jpg,neutral
./affectnet/train/neutral/image0017143.jpg,neutral
./affectnet/train/neutral/image0008129.jpg,neutral
./affectnet/train/neutral/image0001533.jpg,neutral
./affectnet/train/neutral/image0007266.jpg,neutral
./affectnet/train/neutral/image0017053.jpg,neutral
./affectnet/train/neutral/image0014818.jpg,neutral
./affectnet/train/neutral/image0009229.jpg,neutral
./affectnet/train/neutral/image0013303.jpg,neutral
./affectnet/train/neutral/image0007243.jpg,neutral
./affectnet/train/neutral/image0000489.jpg,neutral
