Unnamed: 0,pth,label
19649,neutral/ffhq_4710.png,neutral
19801,neutral/ffhq_4848.png,neutral
19097,neutral/ffhq_4213.png,neutral
18532,neutral/ffhq_341.png,neutral
20106,neutral/ffhq_5121.png,neutral
19943,neutral/ffhq_4976.png,neutral
17208,neutral/ffhq_1914.png,neutral
18554,neutral/ffhq_361.png,neutral
17305,neutral/ffhq_2000.png,neutral
16707,neutral/ffhq_1463.png,neutral
19498,neutral/ffhq_4575.png,neutral
19236,neutral/ffhq_4339.png,neutral
19547,neutral/ffhq_4619.png,neutral
20165,neutral/ffhq_5175.png,neutral
18030,neutral/ffhq_2654.png,neutral
19654,neutral/ffhq_4715.png,neutral
20757,neutral/ffhq_610.png,neutral
18666,neutral/ffhq_3826.png,neutral
18417,neutral/ffhq_3001.png,neutral
18062,neutral/ffhq_2683.png,neutral
16949,neutral/ffhq_1681.png,neutral
19990,neutral/ffhq_5017.png,neutral
19818,neutral/ffhq_4863.png,neutral
16404,neutral/ffhq_1190.png,neutral
19994,neutral/ffhq_5020.png,neutral
18411,neutral/ffhq_2998.png,neutral
20671,neutral/ffhq_5630.png,neutral
17689,neutral/ffhq_2347.png,neutral
16386,neutral/ffhq_1174.png,neutral
21011,neutral/ffhq_84.png,neutral
18344,neutral/ffhq_2937.png,neutral
20613,neutral/ffhq_5579.png,neutral
17077,neutral/ffhq_1797.png,neutral
18060,neutral/ffhq_2681.png,neutral
19325,neutral/ffhq_4419.png,neutral
16758,neutral/ffhq_1509.png,neutral
20018,neutral/ffhq_5042.png,neutral
17819,neutral/ffhq_2464.png,neutral
16329,neutral/ffhq_1122.png,neutral
17512,neutral/ffhq_2188.png,neutral
17754,neutral/ffhq_2405.png,neutral
20515,neutral/ffhq_5490.png,neutral
16653,neutral/ffhq_1414.png,neutral
20761,neutral/ffhq_614.png,neutral
16784,neutral/ffhq_1532.png,neutral
18879,neutral/ffhq_4017.png,neutral
16640,neutral/ffhq_1402.png,neutral
19354,neutral/ffhq_4445.png,neutral
17609,neutral/ffhq_2275.png,neutral
19438,neutral/ffhq_4520.png,neutral
17307,neutral/ffhq_2002.png,neutral
19295,neutral/ffhq_4392.png,neutral
19612,neutral/ffhq_4678.png,neutral
17728,neutral/ffhq_2382.png,neutral
16641,neutral/ffhq_1403.png,neutral
19268,neutral/ffhq_4368.png,neutral
19588,neutral/ffhq_4656.png,neutral
20185,neutral/ffhq_5193.png,neutral
20980,neutral/ffhq_811.png,neutral
17189,neutral/ffhq_1898.png,neutral
19850,neutral/ffhq_4892.png,neutral
18281,neutral/ffhq_2880.png,neutral
16382,neutral/ffhq_1170.png,neutral
20126,neutral/ffhq_514.png,neutral
20468,neutral/ffhq_5448.png,neutral
19463,neutral/ffhq_4543.png,neutral
20519,neutral/ffhq_5494.png,neutral
20717,neutral/ffhq_575.png,neutral
20373,neutral/ffhq_5362.png,neutral
18876,neutral/ffhq_4014.png,neutral
18268,neutral/ffhq_2869.png,neutral
18008,neutral/ffhq_2634.png,neutral
19839,neutral/ffhq_4882.png,neutral
20481,neutral/ffhq_546.png,neutral
19600,neutral/ffhq_4667.png,neutral
20955,neutral/ffhq_79.png,neutral
19317,neutral/ffhq_4411.png,neutral
20425,neutral/ffhq_5409.png,neutral
17929,neutral/ffhq_2563.png,neutral
18830,neutral/ffhq_3974.png,neutral
21219,neutral/image0016197.jpg,neutral
16381,neutral/ffhq_117.png,neutral
19332,neutral/ffhq_4425.png,neutral
19447,neutral/ffhq_4529.png,neutral
18933,neutral/ffhq_4066.png,neutral
20319,neutral/ffhq_5313.png,neutral
19037,neutral/ffhq_416.png,neutral
17485,neutral/ffhq_2163.png,neutral
20575,neutral/ffhq_5544.png,neutral
17928,neutral/ffhq_2562.png,neutral
18124,neutral/ffhq_2739.png,neutral
20025,neutral/ffhq_5049.png,neutral
17744,neutral/ffhq_2397.png,neutral
19766,neutral/ffhq_4816.png,neutral
16502,neutral/ffhq_1279.png,neutral
18501,neutral/ffhq_313.png,neutral
16356,neutral/ffhq_1147.png,neutral
17920,neutral/ffhq_2555.png,neutral
17551,neutral/ffhq_2222.png,neutral
17214,neutral/ffhq_192.png,neutral
17743,neutral/ffhq_2396.png,neutral
19430,neutral/ffhq_4513.png,neutral
18941,neutral/ffhq_4073.png,neutral
19288,neutral/ffhq_4386.png,neutral
18387,neutral/ffhq_2976.png,neutral
19299,neutral/ffhq_4396.png,neutral
19674,neutral/ffhq_4733.png,neutral
18334,neutral/ffhq_2928.png,neutral
21087,neutral/ffhq_908.png,neutral
17638,neutral/ffhq_2300.png,neutral
19633,neutral/ffhq_4697.png,neutral
16342,neutral/ffhq_1134.png,neutral
17978,neutral/ffhq_2607.png,neutral
18853,neutral/ffhq_3995.png,neutral
20987,neutral/ffhq_818.png,neutral
18300,neutral/ffhq_2898.png,neutral
17783,neutral/ffhq_2431.png,neutral
17450,neutral/ffhq_2131.png,neutral
18562,neutral/ffhq_369.png,neutral
19202,neutral/ffhq_4308.png,neutral
19923,neutral/ffhq_4958.png,neutral
21123,neutral/ffhq_940.png,neutral
17667,neutral/ffhq_2327.png,neutral
17892,neutral/ffhq_253.png,neutral
16221,neutral/ffhq_1025.png,neutral
17127,neutral/ffhq_1841.png,neutral
21113,neutral/ffhq_931.png,neutral
16942,neutral/ffhq_1675.png,neutral
17414,neutral/ffhq_21.png,neutral
16499,neutral/ffhq_1276.png,neutral
19717,neutral/ffhq_4772.png,neutral
19178,neutral/ffhq_4287.png,neutral
20371,neutral/ffhq_5360.png,neutral
20777,neutral/ffhq_629.png,neutral
16685,neutral/ffhq_1443.png,neutral
16395,neutral/ffhq_1182.png,neutral
17325,neutral/ffhq_2019.png,neutral
20746,neutral/ffhq_600.png,neutral
20405,neutral/ffhq_5391.png,neutral
20218,neutral/ffhq_5222.png,neutral
16495,neutral/ffhq_1272.png,neutral
20180,neutral/ffhq_5189.png,neutral
